Abdiasz
Abdon
Abel
Abercjusz
Abigail
Abraham
Absalon
Achacjusz
Achacy
Achilles
Ada
Adalbert
Adam
Adamina
Adaukt
Addar
Adela
Adelajda
Adelina
Ado
Adolf
Adolfa
Adolfina
Adria
Adrian
Adriana
Adrianna
Afanazy
Afrodyta
Aga
Agapit
Agata
Agaton
Agatonik
Agenor
Ageusz
Agnieszka
Agrypina
Aida
Aisza
Alan
Alban
Albaniusz
Albert
Alberta
Albertyna
Albin
Albina
Albrecht
Aldona
Aleksander
Aleksandra
Aleksy
Alf
Alfons
Alfonsyna
Alfred
Alfreda
Ali
Alicja
Alina
Alma
Alojza
Alojzy
Alpinian
Amadea
Amadeusz
Amalia
Amanda
Amata
Ambroży
Amedeusz
Amelia
Amiceta
Amin
Amon
Amos
Ananiasz
Anastazja
Anastazy
Anatol
Anatolia
Andonik
Andromeda
Andron
Andrzej
Aneta
Angel
Angela
Angelika
Angelina
Angelus
Anicet
Aniceta
Aniela
Anita
Anna
Antoni
Antonin
Antonina
Antym
Anzelm
Apolinary
Apollo
Apolonia
Apoloniusz
Areta
Ariadna
Ariel
Ariela
Arkadiusz
Arkady
Arleta
Arletta
Arnold
Arnolf
Aron
Arseniusz
Artemon
Artur
Artus
Arystarch
Asenat
Aspazja
Asteria
Asteriusz
Atanazja
Atanazy
August
Augusta
Augustyn
Augustyna
Auksencjusz
Aurela
Aureli
Aurelia
Aurelian
Aureliusz
Aurora
Axel
Balbin
Balbina
Balcer
Baltazar
Barabasz
Barbara
Barnaba
Barnabasz
Bartłomiej
Bartolomea
Bartosz
Batszeba
Bazyl
Bazyli
Bazylid
Bazylis
Bazylissa
Bazyliusz
Bądzimir
Bądzisław
Bądzisława
Bean
Beata
Beatrice
Beatrycze
Beatryks
Beatus
Beda
Begina
Benedykt
Benedykta
Beniamin
Benicjusz
Benigna
Benignus
Benita
Benon
Berenika
Berenike
Berna
Bernadeta
Bernadetta
Bernard
Bernardeta
Bernardyn
Bernardyna
Berno
Berta
Bertold
Bertram
Bertrand
Bibianna
Biernat
Biruta
Bjorn
Blandyn
Blandyna
Blanka
Blizbor
Błażej
Bogdan
Bogdana
Bogna
Boguchwał
Boguchwała
Bogudar
Bogumił
Bogumiła
Bogumir
Bogurad
Bogusąd
Bogusław
Bogusława
Bogusz
Boguta
Boguwola
Bohdan
Bohdana
Bohusz
Bolebor
Boleczest
Bolemir
Bolemysł
Bolesław
Bolesława
Bolisława
Bonawentura
Bonifacy
Bończa
Boromeusz
Borys
Borysław
Borzymir
Borzysław
Borzysława
Borzywoj
Bożebor
Bożeciech
Bożeciecha
Bożena
Bożydar
Bożymierz
Bożysław
Bożysława
Bożywoj
Bratumił
Bratumiła
Brodzisław
Bronimir
Bronisław
Bronisława
Bronisz
Broniwoj
Bruno
Brunon
Bryda
Brygida
Brykcjusz
Budzigniew
Budzimir
Budzisław
Budzisława
Budzisz
Budziwoj
Burchard
Carmen
Cecyl
Cecylia
Cecylian
Cecyliusz
Celestyn
Celestyna
Celina
Cezara
Cezariusz
Cezary
Cezaryna
Charyzjusz
Chociebor
Chociemir
Chociesław
Chrystian
Chryzant
Chryzostom
Chwalibóg
Chwalimir
Chwalimira
Chwalisław
Chwalisława
Cibor
Ciechomir
Ciechosław
Ciechosława
Cierpisław
Cieszybor
Cieszygor
Cieszymir
